natureza_acidente,situacao,bairro,bairro_cruzamento,sentido_via,tipo,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,ponto_controle,situacao_placa,mao_direcao,divisao_via1,ano,mes,dia,dia_semana,vitima
SEM VÍTIMA,FINALIZADA,BONGI,BONGI,CIDADE,COLISÃO TRASEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Agente,Outras,Única,Faixa seccionada,2020,1,16,3,0
COM VÍTIMA,FINALIZADA,SANTO AMARO,SANTO AMARO,CIDADE,ATROPELAMENTO DE PESSOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,Dupla,Canteiro central,2021,11,28,6,0
COM VÍTIMA,CANCELADA,CÓRREGO DO JENIPAPO,CÓRREGO DO JENIPAPO,Não informado,COLISÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2020,10,16,4,0
COM VÍTIMA,FINALIZADA,CORDEIRO,CORDEIRO,SUBURBIO,COLISÃO FRONTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Chuvoso,Não existe,Perfeito estado,Molhada,Perfeito estado,Não existe,Outras,Dupla,Canteiro central,2020,6,12,4,0
Não informado,FINALIZADA,BOA VISTA,BOA VISTA,Não informado,COLISÃO TRASEIRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,Única,Faixa contínua,2022,12,9,4,1
COM VÍTIMA,FINALIZADA,JOANA BEZERRA,JOANA BEZERRA,SUBURBIO,ABALROAMENTO TRANSVERSAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,Única,Faixa seccionada,2020,3,11,2,0
COM VÍTIMA,FINALIZADA,BAIRRO DO RECIFE,BAIRRO DO RECIFE,SUBURBIO,ABALROAMENTO LONGITUDINAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não existe,Não há placas,Dupla,Canteiro central,2020,2,6,3,0
COM VÍTIMA,FINALIZADA,ILHA DO LEITE,ILHA DO LEITE,SUBURBIO,ABALROAMENTO TRANSVERSAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,Única,Canteiro central,2020,3,10,1,0
SEM VÍTIMA,FINALIZADA,IMBIRIBEIRA,IMBIRIBEIRA,CIDADE,COLISÃO TRASEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,Dupla,Canteiro central,2020,1,28,1,0
SEM VÍTIMA,FINALIZADA,BOA VIAGEM,BOA VIAGEM,Não informado,COLISÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2021,3,4,3,0
Não informado,FINALIZADA,IMBIRIBEIRA,IMBIRIBEIRA,Não informado,COLISÃO TRASEIRA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Não informado,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,Dupla,Canteiro central,2022,7,29,4,0
Não informado,FINALIZADA,APIPUCOS,APIPUCOS,CIDADE,COLISÃO TRASEIRA,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Molhada,Perfeito estado,Não existe,Não há placas,Dupla,Faixa contínua,2022,7,19,1,1
Não informado,FINALIZADA,MADALENA,MADALENA,SUBURBIO,COLISÃO LATERAL,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2022,8,21,6,1
Não informado,FINALIZADA,IMBIRIBEIRA,IMBIRIBEIRA,SUBURBIO,COLISÃO COM CICLISTA,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Longo da via,Bom,Não existe,Não existente,Seca,Perfeito estado,Não existe,Não há placas,Única,Faixa contínua,2022,10,25,1,1
Não informado,FINALIZADA,ESPINHEIRO,ESPINHEIRO,CIDADE,COLISÃO LATERAL,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Faixa de retenção,"Placas ""Pare""",Única,Não existe,2022,12,21,2,1
SEM VÍTIMA,FINALIZADA,CORDEIRO,CORDEIRO,CIDADE,COLISÃO TRASEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não informado,Não informado,Dupla,Canteiro central,2020,1,30,3,0
COM VÍTIMA,FINALIZADA,GRAÇAS,GRAÇAS,CIDADE,COLISÃO TRASEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Chuvoso,Sem defeito,Perfeito estado,Molhada,Perfeito estado,Faixa de pedestre,Outras,Única,Não informado,2020,4,19,6,0
SEM VÍTIMA,FINALIZADA,JOANA BEZERRA,JOANA BEZERRA,Não informado,COLISÃO TRASEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Viaduto,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,Dupla,Faixa seccionada,2020,1,28,1,0
Não informado,FINALIZADA,PORTO DA MADEIRA,PORTO DA MADEIRA,Não informado,COLISÃO TRANSVERSAL,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,R-6a,Dupla,Faixa contínua,2022,5,18,2,1
COM VÍTIMA,FINALIZADA,MADALENA,MADALENA,SUBURBIO,ABALROAMENTO TRANSVERSAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Placas Pare,Única,Faixa seccionada,2020,10,6,1,0
COM VÍTIMA,FINALIZADA,BOA VIAGEM,BOA VIAGEM,SUBURBIO,ATROPELAMENTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não informado,Não há placas,Única,Faixa contínua,2020,3,16,0,0
Não informado,FINALIZADA,ESPINHEIRO,ESPINHEIRO,Não informado,COLISÃO TRASEIRA,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2022,9,13,1,1
COM VÍTIMA,FINALIZADA,BOA VISTA,BOA VISTA,OLINDA,ABALROAMENTO LONGITUDINAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Agente,Outras,Única,Não informado,2020,8,27,3,0
Não informado,FINALIZADA,CAMPO GRANDE,CAMPO GRANDE,CIDADE,COLISÃO TRANSVERSAL,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,Dupla,Faixa contínua,2022,6,3,4,1
Não informado,FINALIZADA,BOA VIAGEM,BOA VIAGEM,CIDADE,COLISÃO LATERAL,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Sem defeito,Perfeito estado,Molhada,Perfeito estado,Faixa de pedestre,Não há placas,Única,Não existe,2022,1,27,3,1
SEM VÍTIMA,CANCELADA,IMBIRIBEIRA,IMBIRIBEIRA,AFOGADOS,COLISÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2020,2,11,1,0
COM VÍTIMA,FINALIZADA,JOANA BEZERRA,JOANA BEZERRA,SUBURBIO,COLISÃO COM CICLISTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,Dupla,Canteiro central,2021,6,11,4,0
COM VÍTIMA,FINALIZADA,ÁGUA FRIA,ÁGUA FRIA,Não informado,COLISÃO LATERAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2021,6,29,1,0
SEM VÍTIMA,FINALIZADA,BOA VIAGEM,BOA VIAGEM,CIDADE,COLISÃO TRASEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não existe,R-6a,Única,Faixa seccionada,2021,2,22,0,0
COM VÍTIMA,FINALIZADA,TORRE,TORRE,CIDADE,COLISÃO COM CICLISTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não existe,R-6a,Dupla,Canteiro central,2021,5,16,6,0
SEM VÍTIMA,FINALIZADA,ENCRUZILHADA,ENCRUZILHADA,CIDADE,COLISÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2020,12,24,3,0
Não informado,FINALIZADA,TORRÕES,TORRÕES,CIDADE,ATROPELAMENTO DE PESSOA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,Única,Canteiro central,2022,5,6,4,1
Não informado,FINALIZADA,PINA,PINA,SUBURBIO,CHOQUE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Não existente,Seca,Perfeito estado,Não informado,Não há placas,Dupla,Faixa contínua,2022,4,10,6,1
SEM VÍTIMA,FINALIZADA,SAN MARTIN,SAN MARTIN,SUBURBIO,COLISÃO TRASEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,Dupla,Não informado,2020,2,10,0,0
SEM VÍTIMA,FINALIZADA,TORRE,TORRE,SUBURBIO,COLISÃO TRANSVERSAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,Dupla,Não existe,2021,10,29,4,0
COM VÍTIMA,FINALIZADA,IBURA,IBURA,DUPLO,COLISÃO LATERAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Chuvoso,Não existe,Não existente,Molhada,Perfeito estado,Não existe,Não há placas,Dupla,Não existe,2021,9,5,6,0
SEM VÍTIMA,FINALIZADA,IPSEP,IPSEP,SUBURBIO,CAPOTAMENTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Chuvoso,Não existe,Perfeito estado,Molhada,Perfeito estado,Não existe,Não há placas,Dupla,Faixa contínua,2021,6,19,5,0
SEM VÍTIMA,CANCELADA,SAN MARTIN,SAN MARTIN,Não informado,COLISÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2020,1,3,4,0
SEM VÍTIMA,FINALIZADA,AFOGADOS,AFOGADOS,SUBURBIO,COLISÃO TRASEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,Única,Faixa contínua,2021,11,4,3,0
Não informado,FINALIZADA,AFOGADOS,AFOGADOS,SUBURBIO,COLISÃO TRANSVERSAL,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Sem defeito,Incompleta,Seca,Perfeito estado,Faixa de pedestre,Outras,Única,Faixa contínua,2022,4,12,1,1
SEM VÍTIMA,CANCELADA,IMBIRIBEIRA,IMBIRIBEIRA,AFOGADOS,COLISÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2020,1,7,1,0
COM VÍTIMA,FINALIZADA,TORRÕES,TORRÕES,SUBURBIO,COLISÃO TRANSVERSAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,"Placas ""Pare""",Única,Faixa seccionada,2021,11,27,5,0
SEM VÍTIMA,FINALIZADA,IBURA,IBURA,Não informado,COLISÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Não existente,Seca,Perfeito estado,Não existe,Não há placas,Dupla,Não existe,2020,2,20,3,0
COM VÍTIMA,FINALIZADA,BONGI,BONGI,SUBURBIO,COLISÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não existe,Não há placas,Única,Faixa seccionada,2020,2,20,3,0
COM VÍTIMA,FINALIZADA,BOA VIAGEM,BOA VIAGEM,CIDADE,COLISÃO TRANSVERSAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,Única,Faixa contínua,2021,9,18,5,0
COM VÍTIMA,FINALIZADA,PARNAMIRIM,PARNAMIRIM,Não informado,COLISÃO TRANSVERSAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,R-6a,Dupla,Faixa contínua,2021,9,20,0,0
Não informado,FINALIZADA,DERBY,DERBY,SUBURBIO,COLISÃO TRANSVERSAL,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Chuvoso,Não informado,Perfeito estado,Molhada,Perfeito estado,Não existe,Não informado,Dupla,Não existe,2022,6,27,0,1
COM VÍTIMA,FINALIZADA,BREJO DE BEBERIBE,BREJO DE BEBERIBE,Não informado,ABALROAMENTO LONGITUDINAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,Dupla,Não existe,2020,11,30,0,0
Não informado,FINALIZADA,TEJIPIÓ,TEJIPIÓ,Não informado,COLISÃO FRONTAL,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,Dupla,Faixa contínua,2022,9,10,5,1
Não informado,FINALIZADA,ENCRUZILHADA,ENCRUZILHADA,SUBURBIO,COLISÃO TRASEIRA,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de retenção,Não há placas,Dupla,Canteiro central,2022,1,18,1,1
SEM VÍTIMA,FINALIZADA,SANTO AMARO,SANTO AMARO,CIDADE,COLISÃO FRONTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de retenção,Não há placas,Única,Faixa seccionada,2020,7,7,1,0
SEM VÍTIMA,FINALIZADA,IMBIRIBEIRA,IMBIRIBEIRA,CIDADE,COLISÃO TRASEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,Dupla,Canteiro central,2020,1,15,2,0
Não informado,FINALIZADA,ENCRUZILHADA,ENCRUZILHADA,Não informado,COLISÃO TRANSVERSAL,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não informado,Dupla,Canteiro central,2022,2,12,5,0
COM VÍTIMA,FINALIZADA,BOA VIAGEM,BOA VIAGEM,CIDADE,ABALROAMENTO TRANSVERSAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Placas Pare,Única,Não existe,2020,12,2,2,0
SEM VÍTIMA,FINALIZADA,SANTO AMARO,SANTO AMARO,SUBURBIO,COLISÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Chuvoso,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,Única,Não existe,2020,2,20,3,0
COM VÍTIMA,FINALIZADA,AREIAS,AREIAS,Não informado,ABALROAMENTO TRANSVERSAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,Dupla,Faixa contínua,2020,7,1,2,0
Não informado,FINALIZADA,TEJIPIÓ,TEJIPIÓ,Não informado,COLISÃO TRASEIRA,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,R-6a,Dupla,Faixa contínua,2022,9,6,1,0
Não informado,FINALIZADA,TORRE,TORRE,SUBURBIO,COLISÃO TRASEIRA,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Chuvoso,Sem defeito,Perfeito estado,Molhada,Perfeito estado,Não existe,R-3,Única,Faixa seccionada,2022,6,1,2,0
Não informado,FINALIZADA,BOA VIAGEM,BOA VIAGEM,SUBURBIO,COLISÃO TRANSVERSAL,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Chuvoso,Não existe,Não existente,Molhada,Perfeito estado,Não existe,Não há placas,Dupla,Não existe,2022,5,26,3,0
SEM VÍTIMA,FINALIZADA,TORRE,TORRE,Não informado,ENGAVETAMENTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2021,4,13,1,0
SEM VÍTIMA,FINALIZADA,PRADO,PRADO,SUBURBIO,ABALROAMENTO TRANSVERSAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,Única,Faixa seccionada,2020,2,2,6,0
SEM VÍTIMA,FINALIZADA,AFOGADOS,AFOGADOS,SUBURBIO,COLISÃO TRASEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,Única,Faixa seccionada,2020,2,10,0,0
SEM VÍTIMA,CANCELADA,BOA VIAGEM,BOA VIAGEM,Não informado,ACID. DE PERCURSO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2020,7,23,3,0
SEM VÍTIMA,FINALIZADA,DERBY,DERBY,CIDADE,ABALROAMENTO LONGITUDINAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Outros,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não informado,Placas Pare,Única,Não existe,2020,3,16,0,0
COM VÍTIMA,FINALIZADA,TAMARINEIRA,TAMARINEIRA,Não informado,ATROPELAMENTO DE ANIMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,Dupla,Não existe,2021,11,3,2,0
SEM VÍTIMA,FINALIZADA,PRADO,PRADO,CIDADE,COLISÃO TRASEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,Única,Faixa seccionada,2020,3,10,1,0
OUTROS,FINALIZADA,SANTO AMARO,SANTO AMARO,CIDADE,OUTROS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2021,8,7,5,0
COM VÍTIMA,CANCELADA,DOIS UNIDOS,DOIS UNIDOS,Não informado,COLISÃO COM CICLISTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2020,2,17,0,0
COM VÍTIMA,FINALIZADA,MADALENA,MADALENA,SUBURBIO,QUEDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,Não informado,Faixa contínua,2021,3,9,1,0
COM VÍTIMA,FINALIZADA,ÁGUA FRIA,ÁGUA FRIA,SUBURBIO,COLISÃO LATERAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,Dupla,Não informado,2021,1,26,1,0
COM VÍTIMA,FINALIZADA,ILHA DO LEITE,ILHA DO LEITE,SUBURBIO,COLISÃO TRASEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Chuvoso,Sem defeito,Perfeito estado,Molhada,Perfeito estado,Faixa de pedestre,Não há placas,Única,Faixa contínua,2020,4,16,3,0
COM VÍTIMA,FINALIZADA,PINA,PINA,CIDADE,COLISÃO LATERAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2021,6,28,0,0
SEM VÍTIMA,FINALIZADA,CASA AMARELA,CASA AMARELA,Não informado,ABALROAMENTO TRANSVERSAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Placas Pare,Dupla,Não existe,2020,1,13,0,0
COM VÍTIMA,FINALIZADA,MONTEIRO,MONTEIRO,CIDADE,COLISÃO TRASEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não informado,Dupla,Faixa seccionada,2021,7,5,0,0
Não informado,FINALIZADA,NOVA DESCOBERTA,NOVA DESCOBERTA,SUBURBIO,COLISÃO COM CICLISTA,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Esquina,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não informado,R-6a,Dupla,Não existe,2022,1,25,1,1
Não informado,FINALIZADA,IMBIRIBEIRA,IMBIRIBEIRA,SUBURBIO,COLISÃO TRASEIRA,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Chuvoso,Não existe,Perfeito estado,Molhada,Perfeito estado,Não existe,Não há placas,Única,Faixa seccionada,2022,10,7,4,1
SEM VÍTIMA,FINALIZADA,ENCRUZILHADA,ENCRUZILHADA,CIDADE,ABALROAMENTO TRANSVERSAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,Dupla,Canteiro central,2020,3,8,6,0
COM VÍTIMA,FINALIZADA,AREIAS,AREIAS,SUBURBIO,ABALROAMENTO TRANSVERSAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,Dupla,Canteiro central,2020,3,5,3,0
Não informado,FINALIZADA,CAXANGÁ,CAXANGÁ,CIDADE,ATROPELAMENTO DE PESSOA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,Dupla,Canteiro central,2022,9,16,4,1
Não informado,CANCELADA,ALTO DO MANDU,ALTO DO MANDU,Não informado,COLISÃO TRASEIRA,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2022,8,21,6,0
SEM VÍTIMA,FINALIZADA,DERBY,DERBY,CIDADE,ABALROAMENTO TRANSVERSAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,Dupla,Faixa seccionada,2020,1,8,2,0
COM VÍTIMA,FINALIZADA,AFOGADOS,AFOGADOS,SUBURBIO,COLISÃO TRASEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,Única,Canal,2021,9,11,5,0
COM VÍTIMA,FINALIZADA,SANTO ANTÔNIO,SANTO ANTÔNIO,CIDADE,ATROPELAMENTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,Dupla,Faixa seccionada,2020,11,9,0,0
COM VÍTIMA,FINALIZADA,BOA VISTA,BOA VISTA,CIDADE,ABALROAMENTO TRANSVERSAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,Única,Não existe,2020,10,7,2,0
COM VÍTIMA,FINALIZADA,CORDEIRO,CORDEIRO,SUBURBIO,ATROPELAMENTO DE PESSOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,Dupla,Faixa contínua,2021,10,19,1,0
SEM VÍTIMA,FINALIZADA,BOA VISTA,BOA VISTA,Não informado,COLISÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,Dupla,Faixa seccionada,2020,2,14,4,0
